订单编号,总金额,买家实际支付金额,收货地址 ,订单创建时间,订单付款时间 ,退款金额
35,102.0,64.0,海南省,2020-02-20 23:45:41,2020-02-20 23:45:45,38.0
36,233.0,233.0,四川省,2020-02-20 23:44:25,2020-02-20 23:44:30,0.0
37,389.0,389.0,广东省,2020-02-20 23:44:03,2020-02-20 23:44:21,0.0
38,37.0,0.0,广东省,2020-02-20 23:43:56,,0.0
39,50.9,50.9,江苏省,2020-02-20 23:43:35,2020-02-20 23:51:41,0.0
40,139.0,0.0,江西省,2020-02-20 23:43:00,,0.0
41,357.0,0.0,北京,2020-02-20 23:42:56,,0.0
42,238.0,238.0,四川省,2020-02-20 23:39:47,2020-02-21 00:01:03,0.0
43,69.0,0.0,甘肃省,2020-02-20 23:38:41,2020-02-20 23:38:56,69.0
44,37.0,0.0,贵州省,2020-02-20 23:38:23,2020-02-20 23:38:33,37.0
45,302.0,302.0,北京,2020-02-20 23:38:22,2020-02-20 23:39:09,0.0
46,114.0,114.0,江苏省,2020-02-20 23:38:19,2020-02-20 23:38:24,0.0
47,212.9,212.9,浙江省,2020-02-20 23:37:32,2020-02-20 23:37:38,0.0
48,247.0,247.0,北京,2020-02-20 23:35:26,2020-02-20 23:35:58,0.0
49,119.0,119.0,江苏省,2020-02-20 23:35:03,2020-02-20 23:35:07,0.0
50,119.0,119.0,天津,2020-02-20 23:35:03,2020-02-20 23:35:15,0.0
51,69.0,69.0,河北省,2020-02-20 23:34:58,2020-02-20 23:35:57,0.0
52,64.8,64.8,河北省,2020-02-20 23:33:56,2020-02-20 23:34:00,0.0
53,98.9,0.0,海南省,2020-02-20 23:33:55,2020-02-20 23:33:59,98.9
54,34.9,34.9,黑龙江省,2020-02-20 23:32:49,2020-02-20 23:32:54,0.0
55,101.0,101.0,广东省,2020-02-20 23:32:09,2020-02-20 23:32:24,0.0
56,53.0,53.0,上海,2020-02-20 23:31:50,2020-02-20 23:32:23,0.0
57,119.0,0.0,云南省,2020-02-20 23:31:34,,0.0
58,119.0,0.0,重庆,2020-02-20 23:30:59,2020-02-20 23:31:11,119.0
59,37.0,37.0,北京,2020-02-20 23:30:53,2020-02-20 23:33:46,0.0
60,37.0,37.0,北京,2020-02-20 23:30:46,2020-02-20 23:30:55,0.0
61,69.0,69.0,广东省,2020-02-20 23:30:33,2020-02-20 23:30:50,0.0
62,119.0,119.0,广东省,2020-02-20 23:29:33,2020-02-20 23:29:55,0.0
63,37.0,0.0,重庆,2020-02-20 23:28:55,,0.0
64,259.0,0.0,天津,2020-02-20 23:28:51,,0.0
65,210.8,210.8,湖南省,2020-02-20 23:28:39,2020-02-20 23:28:51,0.0
66,183.0,183.0,山西省,2020-02-20 23:28:37,2020-02-20 23:28:53,0.0
67,151.0,151.0,北京,2020-02-20 23:28:34,2020-02-20 23:28:37,0.0
68,64.0,0.0,重庆,2020-02-20 23:28:01,2020-02-21 15:19:57,64.0
69,119.0,0.0,黑龙江省,2020-02-20 23:28:01,2020-02-20 23:28:08,119.0
70,270.0,270.0,广东省,2020-02-20 23:27:31,2020-02-20 23:27:52,0.0
71,53.0,53.0,甘肃省,2020-02-20 23:27:29,2020-02-20 23:27:33,0.0
72,101.0,0.0,广东省,2020-02-20 23:27:05,2020-02-20 23:27:14,101.0
73,53.0,53.0,浙江省,2020-02-20 23:26:24,2020-02-20 23:26:36,0.0
74,69.0,69.0,重庆,2020-02-20 23:26:07,2020-02-20 23:26:50,0.0
75,119.0,0.0,浙江省,2020-02-20 23:25:53,2020-02-20 23:26:03,119.0
76,389.0,389.0,四川省,2020-02-20 23:25:14,2020-02-20 23:25:36,0.0
77,119.0,119.0,北京,2020-02-20 23:24:01,2020-02-20 23:24:15,0.0
78,641.7,641.7,上海,2020-02-20 23:23:56,2020-02-20 23:24:05,0.0
79,102.0,32.0,天津,2020-02-20 23:23:27,2020-02-20 23:23:43,70.0
80,37.0,0.0,广东省,2020-02-20 23:23:11,,0.0
81,178.8,178.8,四川省,2020-02-20 23:23:10,2020-02-20 23:25:45,0.0
82,178.8,0.0,天津,2020-02-20 23:22:54,2020-02-20 23:22:58,178.8
83,119.0,119.0,北京,2020-02-20 23:22:47,2020-02-20 23:22:53,0.0
84,37.0,37.0,北京,2020-02-20 23:22:31,2020-02-20 23:22:37,0.0
85,37.0,0.0,天津,2020-02-20 23:22:23,2020-02-20 23:48:11,37.0
86,183.0,183.0,江西省,2020-02-20 23:22:16,2020-02-20 23:22:23,0.0
87,227.0,227.0,吉林省,2020-02-20 23:22:12,2020-02-20 23:22:20,0.0
88,119.0,119.0,北京,2020-02-20 23:22:06,2020-02-20 23:22:20,0.0
89,540.6,540.6,广东省,2020-02-20 23:21:18,2020-02-20 23:21:25,0.0
90,183.0,183.0,江苏省,2020-02-20 23:20:36,2020-02-20 23:20:45,0.0
91,274.8,274.8,山西省,2020-02-20 23:20:25,2020-02-20 23:20:34,0.0
92,96.8,0.0,吉林省,2020-02-20 23:19:45,2020-02-20 23:19:55,96.8
93,34.9,0.0,广东省,2020-02-20 23:19:29,,0.0
94,64.8,64.8,贵州省,2020-02-20 23:19:02,2020-02-20 23:19:08,0.0
95,69.0,69.0,北京,2020-02-20 23:18:56,2020-02-20 23:19:05,0.0
96,37.0,0.0,北京,2020-02-20 23:18:40,2020-02-20 23:19:17,37.0
97,215.0,215.0,江苏省,2020-02-20 23:18:40,2020-02-20 23:18:51,0.0
98,69.0,69.0,河北省,2020-02-20 23:18:24,2020-02-20 23:18:30,0.0
99,53.0,53.0,江苏省,2020-02-20 23:18:10,2020-02-20 23:18:17,0.0
100,37.0,0.0,北京,2020-02-20 23:18:01,2020-02-20 23:18:26,37.0
101,165.5,165.5,四川省,2020-02-20 23:17:04,2020-02-20 23:17:16,0.0
102,69.0,69.0,北京,2020-02-20 23:16:28,2020-02-20 23:16:48,0.0
103,69.0,69.0,辽宁省,2020-02-20 23:16:12,2020-02-20 23:16:19,0.0
104,195.0,195.0,福建省,2020-02-20 23:16:05,2020-02-20 23:16:15,0.0
105,85.0,85.0,江苏省,2020-02-20 23:15:52,2020-02-20 23:15:58,0.0
106,119.0,119.0,北京,2020-02-20 23:15:41,2020-02-20 23:15:47,0.0
107,102.0,0.0,天津,2020-02-20 23:15:23,2020-02-20 23:15:35,102.0
108,128.0,0.0,吉林省,2020-02-20 23:14:38,,0.0
109,50.9,50.9,江苏省,2020-02-20 23:14:25,2020-02-20 23:15:02,0.0
110,119.0,0.0,江苏省,2020-02-20 23:14:09,2020-02-20 23:14:16,119.0
111,66.9,66.9,河南省,2020-02-20 23:13:44,2020-02-20 23:13:49,0.0
112,238.0,238.0,天津,2020-02-20 23:13:26,2020-02-20 23:13:35,0.0
113,119.0,119.0,广东省,2020-02-20 23:13:05,2020-02-20 23:13:08,0.0
114,37.0,37.0,四川省,2020-02-20 23:12:02,2020-02-20 23:12:06,0.0
115,64.8,64.8,山东省,2020-02-20 23:11:34,2020-02-20 23:11:39,0.0
116,37.0,0.0,浙江省,2020-02-20 23:10:06,2020-02-20 23:10:12,37.0
117,37.0,0.0,上海,2020-02-20 23:09:18,2020-02-20 23:09:28,37.0
118,119.0,0.0,黑龙江省,2020-02-20 23:09:02,,0.0
119,299.9,299.9,广东省,2020-02-20 23:08:50,2020-02-20 23:08:57,0.0
120,64.8,64.8,福建省,2020-02-20 23:07:16,2020-02-20 23:07:21,0.0
121,135.0,135.0,浙江省,2020-02-20 23:07:15,2020-02-20 23:07:34,0.0
122,34.9,0.0,山东省,2020-02-20 23:07:07,2020-02-20 23:07:39,34.9
123,238.0,238.0,上海,2020-02-20 23:07:06,2020-02-20 23:07:20,0.0
124,34.9,34.9,云南省,2020-02-20 23:06:20,2020-02-20 23:06:29,0.0
125,128.0,128.0,广东省,2020-02-20 23:06:11,2020-02-21 00:12:36,0.0
126,69.0,69.0,北京,2020-02-20 23:05:08,2020-02-20 23:05:12,0.0
127,37.0,37.0,天津,2020-02-20 23:04:15,2020-02-20 23:04:22,0.0
128,37.0,37.0,四川省,2020-02-20 23:04:06,2020-02-20 23:04:24,0.0
129,37.0,37.0,山东省,2020-02-20 23:03:58,2020-02-20 23:04:36,0.0
130,21.0,21.0,云南省,2020-02-20 23:03:28,2020-02-20 23:06:20,0.0
131,267.9,0.0,天津,2020-02-20 23:02:44,2020-02-20 23:02:54,267.9
132,119.0,119.0,陕西省,2020-02-20 23:00:33,2020-02-20 23:00:52,0.0
133,183.0,0.0,北京,2020-02-20 23:00:31,2020-02-20 23:00:38,183.0
134,148.9,148.9,天津,2020-02-20 22:59:34,2020-02-20 22:59:49,0.0
135,119.0,119.0,四川省,2020-02-20 22:59:00,2020-02-20 22:59:04,0.0
136,34.9,34.9,安徽省,2020-02-20 22:58:52,2020-02-20 22:59:01,0.0
137,302.0,302.0,浙江省,2020-02-20 22:58:18,2020-02-20 22:58:23,0.0
138,160.0,160.0,江苏省,2020-02-20 22:57:30,2020-02-20 22:57:38,0.0
139,148.9,148.9,江苏省,2020-02-20 22:56:49,2020-02-20 22:57:00,0.0
140,119.0,0.0,上海,2020-02-20 22:55:51,,0.0
141,64.8,64.8,天津,2020-02-20 22:55:09,2020-02-20 22:57:20,0.0
142,183.0,0.0,北京,2020-02-20 22:54:42,2020-02-20 22:54:46,183.0
143,21.0,0.0,江苏省,2020-02-20 22:54:34,2020-02-20 22:54:53,21.0
144,37.0,0.0,江苏省,2020-02-20 22:54:16,,0.0
145,66.9,66.9,上海,2020-02-20 22:53:56,2020-02-20 22:54:02,0.0
146,119.0,119.0,湖南省,2020-02-20 22:51:44,2020-02-20 22:51:47,0.0
147,119.0,0.0,北京,2020-02-20 22:51:15,2020-02-20 22:51:20,119.0
148,66.9,5.0,北京,2020-02-20 22:51:10,2020-02-20 22:51:22,61.9
149,276.0,276.0,北京,2020-02-20 22:50:14,2020-02-20 22:50:17,0.0
150,37.0,37.0,云南省,2020-02-20 22:49:38,2020-02-20 22:49:42,0.0
151,66.9,0.0,北京,2020-02-20 22:49:28,2020-02-20 22:49:48,66.9
152,114.0,114.0,天津,2020-02-20 22:48:13,2020-02-20 22:48:20,0.0
153,195.0,195.0,上海,2020-02-20 22:47:16,2020-02-20 22:47:30,0.0
154,119.0,119.0,北京,2020-02-20 22:46:59,2020-02-20 22:47:06,0.0
155,34.9,0.0,湖南省,2020-02-20 22:46:50,,0.0
156,119.0,0.0,广东省,2020-02-20 22:46:33,,0.0
157,53.0,53.0,吉林省,2020-02-20 22:45:59,2020-02-20 22:46:07,0.0
158,98.9,98.9,上海,2020-02-20 22:45:51,2020-02-20 22:46:19,0.0
159,119.0,119.0,湖南省,2020-02-20 22:45:09,2020-02-20 22:47:10,0.0
160,69.0,69.0,上海,2020-02-20 22:44:44,2020-02-20 22:44:49,0.0
161,34.9,34.9,天津,2020-02-20 22:43:26,2020-02-20 22:43:34,0.0
162,72.9,72.9,内蒙古自治区,2020-02-20 22:42:36,2020-02-20 22:42:42,0.0
163,69.0,0.0,北京,2020-02-20 22:42:26,2020-02-20 22:42:30,69.0
164,64.8,64.8,广东省,2020-02-20 22:41:34,2020-02-21 10:58:57,0.0
165,476.6,476.6,浙江省,2020-02-20 22:41:31,2020-02-21 00:24:30,0.0
166,183.0,183.0,上海,2020-02-20 22:41:06,2020-02-20 22:41:17,0.0
167,155.8,0.0,山东省,2020-02-20 22:40:20,2020-02-20 22:40:23,155.8
168,119.0,119.0,上海,2020-02-20 22:39:47,2020-02-20 22:39:54,0.0
169,66.9,66.9,天津,2020-02-20 22:39:14,2020-02-20 22:39:17,0.0
170,69.0,69.0,四川省,2020-02-20 22:38:33,2020-02-21 12:31:06,0.0
171,69.0,69.0,河南省,2020-02-20 22:37:14,2020-02-20 22:37:17,0.0
172,108.0,108.0,云南省,2020-02-20 22:36:48,2020-02-20 22:36:58,0.0
173,34.9,34.9,安徽省,2020-02-20 22:36:31,2020-02-20 22:36:37,0.0
174,152.0,152.0,北京,2020-02-20 22:36:16,2020-02-20 22:36:23,0.0
175,224.0,0.0,山东省,2020-02-20 22:35:27,,0.0
176,119.0,119.0,广东省,2020-02-20 22:35:26,2020-02-20 22:35:58,0.0
177,72.9,0.0,天津,2020-02-20 22:35:19,2020-02-20 22:36:35,72.9
178,96.8,0.0,浙江省,2020-02-20 22:35:09,,0.0
179,119.0,119.0,云南省,2020-02-20 22:34:29,2020-02-20 22:34:39,0.0
180,151.0,151.0,上海,2020-02-20 22:34:12,2020-02-20 22:34:16,0.0
181,165.7,165.7,吉林省,2020-02-20 22:34:09,2020-02-20 22:34:16,0.0
182,37.0,0.0,江苏省,2020-02-20 22:32:57,2020-02-20 22:33:05,37.0
183,37.0,0.0,浙江省,2020-02-20 22:32:52,,0.0
184,72.9,0.0,天津,2020-02-20 22:32:35,,0.0
185,59.0,59.0,河南省,2020-02-20 22:32:20,2020-02-20 22:32:28,0.0
186,178.8,0.0,北京,2020-02-20 22:32:02,2020-02-20 22:32:07,178.8
187,270.0,0.0,北京,2020-02-20 22:31:30,2020-02-20 22:31:35,270.0
188,69.0,69.0,江苏省,2020-02-20 22:31:00,2020-02-20 22:31:10,0.0
189,178.8,178.8,重庆,2020-02-20 22:30:55,2020-02-20 22:31:07,0.0
190,34.9,0.0,重庆,2020-02-20 22:30:03,,0.0
191,119.0,119.0,江苏省,2020-02-20 22:30:02,2020-02-20 22:30:24,0.0
192,119.0,119.0,浙江省,2020-02-20 22:29:57,2020-02-20 22:30:10,0.0
193,37.0,37.0,浙江省,2020-02-20 22:29:57,2020-02-20 22:30:10,0.0
194,64.8,64.8,重庆,2020-02-20 22:29:49,2020-02-20 22:29:58,0.0
195,180.9,180.9,陕西省,2020-02-20 22:29:13,2020-02-20 22:29:20,0.0
196,119.0,119.0,江苏省,2020-02-20 22:28:39,2020-02-20 22:28:48,0.0
197,238.0,238.0,辽宁省,2020-02-20 22:28:15,2020-02-20 22:28:50,0.0
198,34.9,0.0,重庆,2020-02-20 22:28:05,,0.0
199,119.0,119.0,云南省,2020-02-20 22:27:51,2020-02-20 22:27:56,0.0
200,119.0,0.0,湖北省,2020-02-20 22:27:48,2020-02-20 22:27:51,119.0
201,66.9,66.9,福建省,2020-02-20 22:27:37,2020-02-20 22:27:41,0.0
202,37.0,37.0,湖南省,2020-02-20 22:27:26,2020-02-20 22:31:06,0.0
203,81.0,81.0,北京,2020-02-20 22:27:21,2020-02-20 22:27:25,0.0
204,180.9,0.0,浙江省,2020-02-20 22:27:09,2020-02-20 22:37:24,180.9
205,94.7,94.7,北京,2020-02-20 22:27:07,2020-02-20 22:27:28,0.0
206,43.0,0.0,安徽省,2020-02-20 22:26:44,,0.0
207,101.0,101.0,广东省,2020-02-20 22:26:44,2020-02-21 02:25:33,0.0
208,37.0,37.0,云南省,2020-02-20 22:26:22,2020-02-20 22:26:27,0.0
209,34.9,34.9,江苏省,2020-02-20 22:25:59,2020-02-20 22:26:35,0.0
210,101.0,101.0,云南省,2020-02-20 22:25:42,2020-02-20 22:26:01,0.0
211,34.9,0.0,湖南省,2020-02-20 22:25:29,2020-02-20 22:25:40,34.9
212,183.0,183.0,北京,2020-02-20 22:25:18,2020-02-20 22:26:14,0.0
213,238.0,238.0,四川省,2020-02-20 22:25:11,2020-02-20 22:25:22,0.0
214,43.0,43.0,安徽省,2020-02-20 22:24:42,2020-02-20 22:24:50,0.0
215,121.7,0.0,山东省,2020-02-20 22:24:37,2020-02-20 22:24:40,121.7
216,208.7,208.7,天津,2020-02-20 22:23:49,2020-02-20 22:23:56,0.0
217,183.0,0.0,北京,2020-02-20 22:23:42,,0.0
218,64.8,64.8,北京,2020-02-20 22:23:20,2020-02-20 22:23:25,0.0
219,141.9,0.0,内蒙古自治区,2020-02-20 22:22:59,2020-02-20 22:23:07,141.9
220,69.0,69.0,天津,2020-02-20 22:22:19,2020-02-20 22:22:26,0.0
221,75.0,75.0,辽宁省,2020-02-20 22:22:14,2020-02-20 22:23:16,0.0
222,43.0,0.0,湖北省,2020-02-20 22:20:35,2020-02-20 22:21:02,43.0
223,327.7,327.7,浙江省,2020-02-20 22:20:26,2020-02-20 22:28:12,0.0
224,334.0,302.0,江苏省,2020-02-20 22:19:56,2020-02-20 22:20:08,32.0
225,453.0,453.0,四川省,2020-02-20 22:19:53,2020-02-20 22:19:58,0.0
226,119.6,119.6,上海,2020-02-20 22:19:44,2020-02-20 22:19:58,0.0
227,50.9,0.0,河北省,2020-02-20 22:19:39,,0.0
228,148.9,148.9,福建省,2020-02-20 22:19:14,2020-02-20 22:19:22,0.0
229,34.9,34.9,四川省,2020-02-20 22:19:11,2020-02-20 22:19:14,0.0
230,69.0,69.0,山东省,2020-02-20 22:18:58,2020-02-20 22:19:05,0.0
231,37.0,37.0,海南省,2020-02-20 22:18:52,2020-02-20 22:19:18,0.0
232,270.0,0.0,重庆,2020-02-20 22:17:39,2020-02-20 22:17:50,270.0
233,34.9,0.0,山东省,2020-02-20 22:16:59,2020-02-20 22:17:02,34.9
234,119.0,0.0,江苏省,2020-02-20 22:16:30,2020-02-20 22:16:34,119.0
235,69.0,69.0,湖南省,2020-02-20 22:16:17,2020-02-20 22:16:21,0.0
236,64.8,0.0,山东省,2020-02-20 22:15:42,2020-02-20 22:15:51,64.8
237,238.0,238.0,河北省,2020-02-20 22:15:36,2020-02-20 22:15:43,0.0
238,102.8,102.8,江苏省,2020-02-20 22:14:41,2020-02-20 22:14:47,0.0
239,43.0,43.0,浙江省,2020-02-20 22:14:39,2020-02-20 22:14:46,0.0
240,43.0,0.0,浙江省,2020-02-20 22:14:19,,0.0
241,34.9,0.0,重庆,2020-02-20 22:13:27,,0.0
242,247.0,247.0,四川省,2020-02-20 22:13:17,2020-02-20 22:13:28,0.0
243,238.0,0.0,江苏省,2020-02-20 22:12:57,2020-02-20 22:13:09,238.0
244,119.0,119.0,安徽省,2020-02-20 22:12:37,2020-02-20 22:12:42,0.0
245,119.0,119.0,陕西省,2020-02-20 22:12:36,2020-02-20 22:12:42,0.0
246,43.0,0.0,安徽省,2020-02-20 22:11:41,,0.0
247,37.0,0.0,山东省,2020-02-20 22:11:40,,0.0
248,119.0,119.0,江苏省,2020-02-20 22:11:38,2020-02-20 22:11:43,0.0
249,37.0,5.0,河北省,2020-02-20 22:10:36,2020-02-20 22:10:50,32.0
250,69.0,69.0,吉林省,2020-02-20 22:10:22,2020-02-20 22:10:27,0.0
251,81.0,5.0,山东省,2020-02-20 22:10:17,2020-02-20 22:10:25,76.0
252,69.0,69.0,贵州省,2020-02-20 22:10:13,2020-02-20 22:10:28,0.0
253,37.0,0.0,河北省,2020-02-20 22:10:07,,0.0
254,119.0,119.0,江苏省,2020-02-20 22:08:37,2020-02-20 22:08:40,0.0
255,69.0,69.0,黑龙江省,2020-02-20 22:08:11,2020-02-20 22:08:16,0.0
256,37.0,0.0,辽宁省,2020-02-20 22:08:10,2020-02-20 22:12:06,37.0
257,183.0,183.0,上海,2020-02-20 22:07:58,2020-02-20 22:08:04,0.0
258,398.0,398.0,安徽省,2020-02-20 22:07:41,2020-02-20 22:07:48,0.0
259,128.0,0.0,上海,2020-02-20 22:07:37,2020-02-20 22:07:42,128.0
260,151.0,151.0,北京,2020-02-20 22:07:19,2020-02-20 22:07:29,0.0
261,119.0,119.0,广东省,2020-02-20 22:07:00,2020-02-20 22:07:08,0.0
262,53.0,0.0,山东省,2020-02-20 22:06:55,2020-02-20 22:06:58,53.0
263,69.0,69.0,上海,2020-02-20 22:06:32,2020-02-20 22:06:36,0.0
264,212.9,93.9,山东省,2020-02-20 22:06:27,2020-02-20 22:06:30,119.0
265,37.0,0.0,黑龙江省,2020-02-20 22:06:11,,0.0
266,119.0,119.0,吉林省,2020-02-20 22:05:51,2020-02-20 22:05:56,0.0
267,186.9,186.9,山东省,2020-02-20 22:05:36,2020-02-20 22:05:42,0.0
268,160.0,0.0,上海,2020-02-20 22:05:35,,0.0
269,37.0,37.0,浙江省,2020-02-20 22:05:02,2020-02-20 22:05:10,0.0
270,64.8,64.8,北京,2020-02-20 22:04:39,2020-02-20 22:04:50,0.0
271,640.0,0.0,吉林省,2020-02-20 22:04:29,,0.0
272,34.9,34.9,河北省,2020-02-20 22:04:29,2020-02-20 22:04:38,0.0
273,178.8,178.8,上海,2020-02-20 22:04:00,2020-02-20 22:04:13,0.0
274,64.8,64.8,吉林省,2020-02-20 22:03:48,2020-02-20 22:03:53,0.0
275,21.0,21.0,辽宁省,2020-02-20 22:03:31,2020-02-20 22:03:36,0.0
276,37.0,37.0,山东省,2020-02-20 22:02:49,2020-02-20 22:02:56,0.0
277,119.0,119.0,上海,2020-02-20 22:02:34,2020-02-20 22:02:38,0.0
278,119.0,119.0,北京,2020-02-20 22:02:17,2020-02-20 22:02:28,0.0
279,98.9,98.9,山东省,2020-02-20 22:02:15,2020-02-20 22:02:22,0.0
280,119.0,119.0,江西省,2020-02-20 22:02:00,2020-02-20 22:02:16,0.0
281,64.8,64.8,广西壮族自治区,2020-02-20 22:01:46,2020-02-20 22:02:03,0.0
282,64.8,64.8,四川省,2020-02-20 22:01:14,2020-02-20 22:01:21,0.0
283,98.9,0.0,山东省,2020-02-20 22:00:36,,0.0
284,34.9,19.9,浙江省,2020-02-20 22:00:33,2020-02-20 22:00:39,15.0
285,75.0,75.0,上海,2020-02-20 22:00:08,2020-02-20 22:00:14,0.0
286,366.0,366.0,安徽省,2020-02-20 22:00:08,2020-02-20 22:00:24,0.0
287,119.0,119.0,河北省,2020-02-20 21:59:12,2020-02-20 21:59:15,0.0
288,119.0,0.0,湖南省,2020-02-20 21:58:51,2020-02-20 22:11:46,119.0
289,98.9,0.0,山东省,2020-02-20 21:58:49,,0.0
290,69.0,69.0,四川省,2020-02-20 21:58:36,2020-02-20 21:58:45,0.0
291,119.0,0.0,天津,2020-02-20 21:57:54,2020-02-20 21:57:58,119.0
292,178.8,178.8,上海,2020-02-20 21:57:51,2020-02-20 22:12:15,0.0
293,37.0,37.0,辽宁省,2020-02-20 21:57:05,2020-02-20 21:57:18,0.0
294,119.0,119.0,北京,2020-02-20 21:57:04,2020-02-20 21:57:08,0.0
295,238.0,238.0,北京,2020-02-20 21:56:58,2020-02-20 21:57:04,0.0
296,34.9,34.9,安徽省,2020-02-20 21:55:57,2020-02-20 21:56:06,0.0
297,327.7,327.7,江苏省,2020-02-20 21:55:53,2020-02-20 21:56:19,0.0
298,101.0,101.0,北京,2020-02-20 21:55:48,2020-02-20 21:56:04,0.0
299,66.9,0.0,广西壮族自治区,2020-02-20 21:55:45,,0.0
300,66.9,0.0,浙江省,2020-02-20 21:55:40,2020-02-20 21:55:51,66.9
301,160.0,160.0,上海,2020-02-20 21:55:22,2020-02-20 21:55:44,0.0
302,119.0,119.0,江西省,2020-02-20 21:55:07,2020-02-20 21:55:11,0.0
303,69.0,69.0,四川省,2020-02-20 21:54:52,2020-02-20 21:54:57,0.0
304,178.8,178.8,河北省,2020-02-20 21:53:59,2020-02-20 21:54:04,0.0
305,119.0,119.0,广东省,2020-02-20 21:53:47,2020-02-20 21:53:55,0.0
306,183.0,119.0,湖南省,2020-02-20 21:53:35,2020-02-20 21:53:39,64.0
307,238.0,238.0,北京,2020-02-20 21:53:28,2020-02-20 21:53:34,0.0
308,192.0,0.0,北京,2020-02-20 21:53:23,,0.0
309,32.0,32.0,江苏省,2020-02-20 21:53:21,2020-02-20 21:54:18,0.0
310,32.0,32.0,北京,2020-02-20 21:52:29,2020-02-20 21:54:52,0.0
311,37.0,0.0,上海,2020-02-20 21:51:42,,0.0
312,37.0,37.0,山东省,2020-02-20 21:51:25,2020-02-20 21:51:30,0.0
313,37.0,0.0,湖南省,2020-02-20 21:51:05,2020-02-20 21:51:11,37.0
314,151.0,151.0,北京,2020-02-20 21:50:28,2020-02-20 21:50:36,0.0
315,69.0,69.0,四川省,2020-02-20 21:50:01,2020-02-20 21:50:18,0.0
316,148.9,0.0,河北省,2020-02-20 21:49:42,,0.0
317,215.0,0.0,浙江省,2020-02-20 21:47:19,2020-02-20 21:47:27,215.0
318,119.0,119.0,浙江省,2020-02-20 21:47:05,2020-02-20 21:47:09,0.0
319,119.0,119.0,上海,2020-02-20 21:47:05,2020-02-20 21:47:12,0.0
320,119.0,0.0,云南省,2020-02-20 21:46:28,,0.0
321,98.9,98.9,河南省,2020-02-20 21:46:24,2020-02-20 21:46:43,0.0
322,119.0,119.0,北京,2020-02-20 21:45:26,2020-02-20 21:45:32,0.0
323,151.0,0.0,河北省,2020-02-20 21:45:17,,0.0
324,238.0,238.0,上海,2020-02-20 21:44:57,2020-02-20 21:45:28,0.0
325,128.0,128.0,河南省,2020-02-20 21:44:31,2020-02-20 21:53:20,0.0
326,37.0,37.0,浙江省,2020-02-20 21:44:18,2020-02-20 21:44:26,0.0
